id_read,longitud_read,largo_semilla,posicion,encontrado,tiempo_ms
M01564:53:000000000-ADV2D:1:1101:15612:1337,130,16,1924134,si,40
M01564:53:000000000-ADV2D:1:1101:15599:1360,110,16,-1,no,40
M01564:53:000000000-ADV2D:1:1101:16395:1367,52,16,-1,no,55
M01564:53:000000000-ADV2D:1:1101:16563:1370,149,16,-1,no,43
M01564:53:000000000-ADV2D:1:1101:16797:1374,62,16,-1,no,47
M01564:53:000000000-ADV2D:1:1101:15464:1375,59,16,-1,no,43
M01564:53:000000000-ADV2D:1:1101:15591:1381,46,16,515546,si,38
M01564:53:000000000-ADV2D:1:1101:15374:1381,141,16,-1,no,40
M01564:53:000000000-ADV2D:1:1101:15633:1347,147,16,-1,no,40
M01564:53:000000000-ADV2D:1:1101:16667:1387,62,16,-1,no,34
M01564:53:000000000-ADV2D:1:1101:14783:1402,125,16,-1,no,35
M01564:53:000000000-ADV2D:1:1101:15100:1411,105,16,-1,no,36
M01564:53:000000000-ADV2D:1:1101:14200:1432,54,16,-1,no,31
M01564:53:000000000-ADV2D:1:1101:14328:1447,71,16,-1,no,34
M01564:53:000000000-ADV2D:1:1101:17462:1448,53,16,476239,si,27
M01564:53:000000000-ADV2D:1:1101:15377:1452,105,16,-1,no,49
M01564:53:000000000-ADV2D:1:1101:17479:1456,138,16,-1,no,45
M01564:53:000000000-ADV2D:1:1101:15747:1466,58,16,-1,no,32
M01564:53:000000000-ADV2D:1:1101:17658:1467,91,16,-1,no,31
M01564:53:000000000-ADV2D:1:1101:15697:1471,107,16,127559,si,25
